\\NASSY\Music\The Rolling Stones - Greatest Hits-Universal\CD 1\01. (I Can't Get No) Satisfaction.mp3	5
\\NASSY\Music\Mountain\Albums\1974-Avalanche(320kbps)\05 (I Can't Get No) Satisfaction.mp3	-999
\\NASSY\Music\Best of Rock Collection (1980-1989) MP3\The Rolling Stones - Greatest Hits-Universal\CD 1\01. (I Can't Get No) Satisfaction.mp3	-999
\\NASSY\Music\Best of Rock Collection (1980-1989) MP3\Disc 6\13. Def Leppard - Pour Some Sugar on Me (1987).mp3	2
\\NASSY\Music\Classic Rock Music - Compilation Mix - Playlist\Def Leppard - Pour Some Sugar On Me.mp3	-999
\\NASSY\Music\AFI - DISCOGRAPHY (1993-13) [CHANNEL NEO]\[2006] Decemberunderground (UK Version)\03 - Miss Murder.mp3	2
\\NASSY\Music\FALL OUT BOY - DISCOGRAPHY [CHANNEL NEO]\[2005] From Under The Cork Tree [Limited Edition]\04 - Sugar, We're Goin' Down.mp3	2
\\NASSY\Music\Punk Goes Pop 4 [CDRip][320kbps]\06 Rolling in the Deep - Go Radio.mp3	5
\\NASSY\Music\Sum 41\Chuck\02 No Reason 1.mp3	1
\\NASSY\Music\Muse\Black Holes And Revelations\11 Knights Of Cydonia.mp3	5
\\NASSY\Music\Soundgarden\03 - Singles, EP's\1994 - Black Hole Sun (CDS) [A&M Rec., 580 737-2]\01. Black Hole Sun.mp3	99
\\NASSY\Music\Unorganized\The Devil Went Down to Georgia - Charlie Daniels Band.mp3	99
\\NASSY\Music\Unorganized\The Devil Went Down to Georgia - Steve Ouimette (re-encoded).mp3	99
\\NASSY\Music\Metallica - Discography 1983-2008 (19 Albums, 23 CDs)\Metallica - 1999 - S & M\Metallica - 1999 - S & M - CD 2\09 - Enter Sandman.mp3	3
\\NASSY\Music\AVENGED SEVENFOLD - DISCOGRAPHY (1999-13) [CHANNEL NEO]\[2005] City Of Evil (Clean Edition)\09 - Strength Of The World.mp3	1
\\NASSY\Music\Oasis\Oasis - Familiar to Millions\12. Champagne Supernova.mp3	-99
\\NASSY\Music\Green Day Complete Official Discography (1990-2012) [WwW.LoKoTorrents.CoM]\2012 - DOS\04. Lazy Bones.mp3	-1
\\NASSY\Music\Classic Rock Music - Compilation Mix - Playlist\Stealers Wheel - Stuck In The Middle With You.mp3	55
\\NASSY\Music\AVENGED SEVENFOLD - DISCOGRAPHY (1999-13) [CHANNEL NEO]\[2009] St. Louis, MO, USA [Live]\02 - Afterlife.mp3	-999
\\NASSY\Music\Rage Against The Machine\Compil\02 - Bulls On Parade.mp3	1
\\NASSY\Music\Soundgarden\03 - Singles, EP's\1994 - Black Hole Sun (CDS) [A&M Rec., 31458 8296 2]\03. Spoonman (Steve Fisk Remix).mp3	-9992
\\NASSY\Music\Weezer [Discography]\1994 - Weezer (The Blue Album) [Deluxe Edition]\disc 2\09 - Undone - The Sweater Song (Previously Unreleased Kitchen Tapes).mp3	1
\\NASSY\Music\Weezer [Discography]\1994 - Weezer (The Blue Album) [Deluxe Edition]\disc 1\05 - Undone (The Sweater Song) - [Weezer].mp3	5
\\NASSY\Music\Punk Goes Pop, Vol 6 [15 Tracks] (320kbps)\8. Hold On, We're Going Home.mp3	-2
\\NASSY\Music\Punk Goes Pop 4 [CDRip][320kbps]\11 Till the World Ends - I See Stars.mp3	1
\\NASSY\Music\Punk Goes Pop 4 [CDRip][320kbps]\13 Super Bass - The Downtown Fiction.mp3	-3
\\NASSY\Music\The Killers Discography\[2006] Sam's Town (Bonus Track Version)\06 - Read My Mind.mp3	5
\\NASSY\Music\FOO FIGHTERS - DISCOGRAPHY (1995-14) [CHANNEL NEO]\[Bonus Track]\01 - Wheels.mp3	8
